"Country","Country_Code","GDP_2012","GDP_2015","GDP_2018","Maths_2012","Maths_2015","Maths_2018","Science_2012","Science_2015","Science_2018","Reading_2012","Reading_2015","Reading_2018","Means_Maths","Means_Science","Means_Reading","Mean_2012","Mean_2015","Mean_2018"
"Albania","ALB",10526.23545,11662.03048,13364.1554,394,413,437,397,427,417,394,405,405,414.667,413.667,401.333,395,415,419.667
"United Arab Emirates","ARE",58961.20201,70212.09301,75075.25741,434,427,435,448,437,434,442,434,432,432,439.667,436,441.333,432.667,433.667
"Argentina","ARG",19764.22501,20551.83319,20610.56855,406,409,379,421,432,404,424,425,402,398,419,417,417,422,395
"Australia","AUS",42826.78958,46276.15069,51663.36509,504,494,491,521,510,503,512,503,503,496.333,511.333,506,512.333,502.333,499
"Austria","AUT",46457.34578,49879.26647,55454.68929,506,497,499,506,495,490,490,485,484,500.667,497,486.333,500.667,492.333,491
"Azerbaijan","AZE",16193.39567,17973.09067,18044.13678,402,398,420,407,407,398,403,389,389,406.667,404,393.667,404,398,402.333
"Belgium","BEL",42290.76205,46213.26653,51407.99834,515,507,508,505,502,499,509,499,493,510,502,500.333,509.667,502.667,500
"Bulgaria","BGR",16208.22043,18186.48723,21960.36994,439,441,436,446,446,424,436,432,420,438.667,438.667,429.333,440.333,439.667,426.667
"Bosnia and Herzegovina","BIH",10304.01646,12013.9825,14623.67405,386,376,406,400,395,398,408,388,403,389.333,397.667,399.667,398,386.333,402.333
"Belarus","BLR",17807.41774,18389.74375,19994.80408,455,441,472,470,449,471,468,445,474,456,463.333,462.333,464.333,445,472.333
"Brazil","BRA",15506.55426,15813.85544,16096.40096,389,377,384,402,401,404,407,407,413,383.333,402.333,409,399.333,395,400.333
"Canada","CAN",42189.19611,44567.86635,48130.25597,518,516,512,525,528,518,523,527,520,515.333,523.667,523.333,522,523.667,516.667
"Switzerland","CHE",57849.57204,63938.98939,68060.94105,531,521,515,515,506,495,509,492,484,522.333,505.333,495,518.333,506.333,498
"Chile","CHL",21507.7074,22688.01003,25222.52778,423,423,417,445,447,444,441,459,452,421,445.333,450.667,436.333,443,437.667
"Colombia","COL",12226.28584,14006.15358,15012.93027,376,390,391,399,416,413,403,425,412,385.667,409.333,413.333,392.667,410.333,405.333
"Costa Rica","CRI",14041.99378,15610.87955,17671.09535,407,400,402,429,420,416,441,427,426,403,421.667,431.333,425.667,415.667,414.667
"Cyprus","CYP",31834.49956,31722.36651,38513.28457,430,437,451,437,433,439,433,443,424,439.333,436.333,433.333,433.333,437.667,438
"Czech Republic","CZE",29047.24644,33691.42424,39743.59709,499,492,499,508,493,497,493,487,490,496.667,499.333,490,500,490.667,495.333
"Germany","DEU",43359.61483,47683.7886,53074.54012,514,506,500,524,509,503,508,509,498,506.667,512,505,515.333,508,500.333
"Denmark","DNK",44803.96824,49058.50107,55671.16527,500,511,509,498,502,493,496,500,501,506.667,497.667,499,498,504.333,501
"Dominican Republic","DOM",11979.70226,14555.74119,17748.18532,379,328,325,391,332,336,399,358,342,344,353,366.333,389.667,339.333,334.333
"Algeria","DZA",13482.72112,14711.22085,15481.78762,381,360,407,393,376,403,398,350,395,382.667,390.667,381,390.667,362,401.667
"Spain","ESP",31720.12,34912.47613,39715.43906,484,486,481,496,493,483,488,496,485,483.667,490.667,489.667,489.333,491.667,483
"Estonia","EST",26190.55295,29397.12984,35973.77646,521,520,523,541,534,530,516,519,523,521.333,535,519.333,526,524.333,525.333
"Finland","FIN",40873.09533,42535.47517,48416.93603,519,511,507,545,531,522,524,526,520,512.333,532.667,523.333,529.333,522.667,516.333
