Country,Country_Code,GDP_2012,GDP_2015,GDP_2018,Maths_2012,Maths_2015,Maths_2018,Science_2012,Science_2015,Science_2018,Reading_2012,Reading_2015,Reading_2018
Albania,ALB,10526.23545,11662.03048,13364.1554,394,413,437,397,427,417,394,405,405
United Arab Emirates,ARE,58961.20201,70212.09301,75075.25741,434,427,435,448,437,434,442,434,432
Argentina,ARG,19764.22501,20551.83319,20610.56855,406,409,379,421,432,404,424,425,402
Australia,AUS,42826.78958,46276.15069,51663.36509,504,494,491,521,510,503,512,503,503
Austria,AUT,46457.34578,49879.26647,55454.68929,506,497,499,506,495,490,490,485,484
Azerbaijan,AZE,16193.39567,17973.09067,18044.13678,402,398,420,407,407,398,403,389,389
Belgium,BEL,42290.76205,46213.26653,51407.99834,515,507,508,505,502,499,509,499,493
Bulgaria,BGR,16208.22043,18186.48723,21960.36994,439,441,436,446,446,424,436,432,420
Bosnia and Herzegovina,BIH,10304.01646,12013.9825,14623.67405,386,376,406,400,395,398,408,388,403
Belarus,BLR,17807.41774,18389.74375,19994.80408,455,441,472,470,449,471,468,445,474
Brazil,BRA,15506.55426,15813.85544,16096.40096,389,377,384,402,401,404,407,407,413
Canada,CAN,42189.19611,44567.86635,48130.25597,518,516,512,525,528,518,523,527,520
Switzerland,CHE,57849.57204,63938.98939,68060.94105,531,521,515,515,506,495,509,492,484
Chile,CHL,21507.7074,22688.01003,25222.52778,423,423,417,445,447,444,441,459,452
Colombia,COL,12226.28584,14006.15358,15012.93027,376,390,391,399,416,413,403,425,412
Costa Rica,CRI,14041.99378,15610.87955,17671.09535,407,400,402,429,420,416,441,427,426
Cyprus,CYP,31834.49956,31722.36651,38513.28457,430,437,451,437,433,439,433,443,424
Czech Republic,CZE,29047.24644,33691.42424,39743.59709,499,492,499,508,493,497,493,487,490
Germany,DEU,43359.61483,47683.7886,53074.54012,514,506,500,524,509,503,508,509,498
Denmark,DNK,44803.96824,49058.50107,55671.16527,500,511,509,498,502,493,496,500,501
Dominican Republic,DOM,11979.70226,14555.74119,17748.18532,379,328,325,391,332,336,399,358,342
Algeria,DZA,13482.72112,14711.22085,15481.78762,381,360,407,393,376,403,398,350,395
Spain,ESP,31720.12,34912.47613,39715.43906,484,486,481,496,493,483,488,496,485
Estonia,EST,26190.55295,29397.12984,35973.77646,521,520,523,541,534,530,516,519,523
Finland,FIN,40873.09533,42535.47517,48416.93603,519,511,507,545,531,522,524,526,520
France,FRA,37679.12178,40833.24207,45342.39574,495,493,495,499,495,493,505,499,493
United Kingdom,GBR,38311.84608,42509.88817,45973.5735,494,492,502,514,509,505,499,498,504
Georgia,GEO,8627.62316,10081.43513,12004.57383,387,404,398,400,411,383,406,401,380
Greece,GRC,25284.46408,26902.52532,29592.15242,453,454,451,467,455,452,477,467,457
Croatia,HRV,21136.4033,23013.62205,27579.78083,471,464,464,491,475,472,485,487,479
Hungary,HUN,23148.12788,26668.04088,31102.50275,477,477,481,494,477,481,488,470,476
Indonesia,IDN,9444.9484,11063.06221,13079.6193,375,386,379,382,403,396,396,397,371
Ireland,IRL,46256.56888,69056.04604,83203.39468,501,504,500,522,503,496,523,521,518
Iceland,ISL,41926.34194,48728.09936,57303.06078,493,488,495,478,473,475,483,482,474
Israel,ISR,31693.91787,35436.81087,39919.16965,466,470,463,470,467,462,486,479,470
Italy,ITA,36486.29679,36909.32837,41830.42633,485,490,487,494,481,468,490,485,476
Jordan,JOR,9151.73247,9089.00686,9478.90459,386,380,400,409,409,429,399,408,419
Japan,JPN,37191.38595,40396.24321,42797.45852,536,532,527,547,538,529,538,516,504
Kazakhstan,KAZ,22407.98331,25123.31799,27879.75195,432,460,423,425,456,397,393,427,387
Lebanon,LBN,13610.88835,12695.41014,13081.10746,389,396,393,400,386,384,406,347,353
Lithuania,LTU,24645.56909,28823.81289,35461.3591,479,478,481,496,475,482,477,472,476
Luxembourg,LUX,91622.17742,103750.7751,113337.4205,490,486,483,491,483,477,488,481,470
Latvia,LVA,21291.1197,24830.93429,30304.8525,491,482,496,502,490,487,489,488,479
Morocco,MAR,6940.43474,7822.96805,8611.70983,379,383,368,391,393,377,399,371,359
Moldova,MDA,5079.41635,6082.84189,7271.64192,405,420,421,418,428,428,419,416,424
Mexico,MEX,17162.92752,18284.88284,19844.64567,413,408,409,415,416,419,424,423,420
North Macedonia,MKD,11839.61687,13831.22799,16358.66205,390,376,394,403,395,413,408,388,393
Malta,MLT,29437.16903,36195.56319,42581.09786,472,479,472,484,465,457,484,447,448
Montenegro,MNE,13863.88105,16337.25379,20689.98675,410,418,430,410,411,415,422,427,421
Malaysia,MYS,23105.07529,27116.57626,31782.15336,421,446,440,420,443,438,398,431,415
Netherlands,NLD,47272.10302,50302.06775,56328.94114,523,512,519,522,509,503,511,503,485
Norway,NOR,65354.77925,60385.11676,65510.58527,489,502,501,495,498,490,504,513,499
New Zealand,NZL,32986.18289,37475.17836,41005.42087,500,495,494,516,513,508,512,509,506
Panama,PAN,18806.56302,22237.09305,25553.69671,390,377,353,396,395,365,397,376,377
